Index	low	moderate	severe
2017-03-14 13:05:00	NA	NA	108.72
2017-03-14 13:10:00	NA	NA	110.91
2017-03-14 13:15:00	NA	NA	111.6
2017-03-14 13:20:00	NA	NA	112.86
2017-03-14 13:25:00	NA	NA	114.7
2017-03-14 13:30:00	NA	NA	116.73
2017-03-14 13:35:00	NA	NA	118.44
2017-03-14 13:40:00	NA	NA	120.57
2017-03-14 13:45:00	NA	NA	123.05
2017-03-14 13:50:00	NA	NA	125.5
2017-03-14 13:55:00	NA	NA	127.58
2017-03-14 14:00:00	NA	NA	128.85
2017-03-14 14:05:00	NA	NA	129.85
2017-03-14 14:10:00	NA	NA	130.8
2017-03-14 14:15:00	NA	NA	132
2017-03-14 14:20:00	NA	NA	133.43
2017-03-14 14:25:00	NA	NA	134.47
2017-03-14 14:30:00	NA	NA	134.64
2017-03-14 14:35:00	NA	NA	133.65
2017-03-14 14:40:00	NA	NA	131.52
2017-03-14 14:45:00	NA	NA	128.08
2017-03-14 14:50:00	NA	NA	123.71
2017-03-14 14:55:00	NA	NA	120.28
2017-03-14 15:00:00	NA	NA	118.95
2017-03-14 15:05:00	NA	NA	118.55
2017-03-14 15:10:00	NA	NA	116.8
2017-03-14 15:15:00	NA	NA	114.55
2017-03-14 15:20:00	NA	NA	112.53
2017-03-14 15:25:00	NA	NA	111.56
2017-03-14 15:30:00	NA	NA	110.73
2017-03-14 15:35:00	NA	NA	109.71
2017-03-14 15:40:00	NA	NA	108.72
2017-03-14 15:45:00	NA	NA	108.02
2017-03-14 15:50:00	NA	NA	107.69
2017-03-14 15:55:00	NA	NA	107.15
2017-03-14 16:00:00	NA	NA	106
2017-03-14 16:05:00	NA	NA	104.62
2017-03-14 16:10:00	NA	NA	103.1
2017-03-14 16:15:00	NA	NA	101.6
2017-03-14 16:20:00	NA	NA	100.13
2017-03-14 16:25:00	NA	NA	98.2
2017-03-14 16:30:00	NA	NA	96.34
2017-03-14 16:35:00	NA	NA	95.05
2017-03-14 16:40:00	NA	NA	94.47
2017-03-14 16:45:00	94.86	NA	94.86
2017-03-14 16:50:00	95.64	NA	95.64
2017-03-14 16:55:00	96.17	NA	96.17
2017-03-14 17:00:00	96.65	NA	96.65
2017-03-14 17:05:00	97.06	NA	97.06
2017-03-14 17:10:00	97.4	NA	97.4
2017-03-14 17:15:00	97.57	NA	97.57
2017-03-14 17:20:00	97.8	NA	97.8
2017-03-14 17:25:00	98.01	NA	NA
2017-03-14 17:30:00	98.1	NA	NA
2017-03-14 17:35:00	97.92	NA	NA
2017-03-14 17:40:00	97.58	NA	NA
2017-03-14 17:45:00	97.14	NA	NA
2017-03-14 17:50:00	96.8	NA	NA
2017-03-14 17:55:00	96.81	NA	NA
2017-03-14 18:00:00	97.16	NA	NA
2017-03-14 18:05:00	97.72	NA	NA
2017-03-14 18:10:00	98.59	NA	NA
2017-03-14 18:15:00	99.6	NA	NA
2017-03-14 18:20:00	100.17	NA	NA
2017-03-14 18:25:00	100.42	NA	NA
2017-03-14 18:30:00	100.79	NA	NA
2017-03-14 18:35:00	101.41	NA	NA
2017-03-14 18:40:00	101.95	NA	NA
2017-03-14 18:45:00	102.63	NA	NA
2017-03-14 18:50:00	104	NA	NA
2017-03-14 18:55:00	106.02	NA	NA
2017-03-14 19:00:00	108.67	NA	NA
2017-03-14 19:05:00	112.08	NA	NA
2017-03-14 19:10:00	116.15	NA	NA
